"REF_DATE","GEO","DGUID","Domestic and international itinerant aircraft movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-12-28","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","32477","","","","0"
"2019-12-28","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","7826","","","","0"
"2019-12-28","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","4113","","","","0"
"2020-01-04","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","37349","","","","0"
"2020-01-04","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8304","","","","0"
"2020-01-04","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","4172","","","","0"
"2020-01-11","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","31725","","","","0"
"2020-01-11","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","7931","","","","0"
"2020-01-11","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","4016","","","","0"
"2020-01-18","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","40833","","","","0"
"2020-01-18","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","7991","","","","0"
"2020-01-18","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3955","","","","0"
"2020-01-25","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","40276","","","","0"
"2020-01-25","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8185","","","","0"
"2020-01-25","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3879","","","","0"
"2020-02-01","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","40090","","","","0"
"2020-02-01","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8024","","","","0"
"2020-02-01","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3846","","","","0"
"2020-02-08","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","44094","","","","0"
"2020-02-08","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8347","","","","0"
"2020-02-08","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3965","","","","0"
"2020-02-15","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","47189","","","","0"
"2020-02-15","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8574","","","","0"
"2020-02-15","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3991","","","","0"
"2020-02-22","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","44486","","","","0"
"2020-02-22","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8423","","","","0"
"2020-02-22","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3934","","","","0"
"2020-02-29","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","43678","","","","0"
"2020-02-29","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8642","","","","0"
"2020-02-29","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","4031","","","","0"
"2020-03-07","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","47930","","","","0"
"2020-03-07","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8854","","","","0"
"2020-03-07","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","4019","","","","0"
"2020-03-14","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","41279","","","","0"
"2020-03-14","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","8195","","","","0"
"2020-03-14","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","3990","","","","0"
"2020-03-21","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","21448","","","","0"
"2020-03-21","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","3690","","","","0"
"2020-03-21","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","2091","","","","0"
"2020-03-28","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","13078","","","","0"
"2020-03-28","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1555","","","","0"
"2020-03-28","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","527","","","","0"
"2020-04-04","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","13561","","","","0"
"2020-04-04","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1147","","","","0"
"2020-04-04","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","401","","","","0"
"2020-04-11","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","12811","","","","0"
"2020-04-11","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","896","","","","0"
"2020-04-11","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","398","","","","0"
"2020-04-18","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","13820","","","","0"
"2020-04-18","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","898","","","","0"
"2020-04-18","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","454","","","","0"
"2020-04-25","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","14781","","","","0"
"2020-04-25","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","817","","","","0"
"2020-04-25","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","469","","","","0"
"2020-05-02","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","16428","","","","0"
"2020-05-02","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","797","","","","0"
"2020-05-02","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","581","","","","0"
"2020-05-09","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","17902","","","","0"
"2020-05-09","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","880","","","","0"
"2020-05-09","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","608","","","","0"
"2020-05-16","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","20824","","","","0"
"2020-05-16","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","882","","","","0"
"2020-05-16","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","642","","","","0"
"2020-05-23","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24010","","","","0"
"2020-05-23","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1004","","","","0"
"2020-05-23","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","604","","","","0"
"2020-05-30","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","26682","","","","0"
"2020-05-30","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1114","","","","0"
"2020-05-30","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","618","","","","0"
"2020-06-06","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","24816","","","","0"
"2020-06-06","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1098","","","","0"
"2020-06-06","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","627","","","","0"
"2020-06-13","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","32167","","","","0"
"2020-06-13","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1113","","","","0"
"2020-06-13","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","640","","","","0"
"2020-06-20","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","31704","","","","0"
"2020-06-20","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1277","","","","0"
"2020-06-20","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","665","","","","0"
"2020-06-27","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","28469","","","","0"
"2020-06-27","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1343","","","","0"
"2020-06-27","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","702","","","","0"
"2020-07-04","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","36516","","","","0"
"2020-07-04","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1407","","","","0"
"2020-07-04","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","750","","","","0"
"2020-07-11","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","35920","","","","0"
"2020-07-11","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1445","","","","0"
"2020-07-11","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","749","","","","0"
"2020-07-18","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","39179","","","","0"
"2020-07-18","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1448","","","","0"
"2020-07-18","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","801","","","","0"
"2020-07-25","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","38079","","","","0"
"2020-07-25","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1435","","","","0"
"2020-07-25","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","813","","","","0"
"2020-08-01","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","37521","","","","0"
"2020-08-01","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1430","","","","0"
"2020-08-01","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","816","","","","0"
"2020-08-08","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","43161","","","","0"
"2020-08-08","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1481","","","","0"
"2020-08-08","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","872","","","","0"
"2020-08-15","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","40542","","","","0"
"2020-08-15","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1437","","","","0"
"2020-08-15","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","870","","","","0"
"2020-08-22","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","40732","","","","0"
"2020-08-22","Canada","2016A000011124","Transborder movements","Number","223","units","0","v1150495737","1.2","1430","","","","0"
"2020-08-22","Canada","2016A000011124","Other international movements","Number","223","units","0","v1150495738","1.3","878","","","","0"
"2020-08-29","Canada","2016A000011124","Domestic movements","Number","223","units","0","v1150495736","1.1","38217","","","","0"
